meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
people lead connect - discuss queries,Custom Software Engineering Specialist,Software Engineering > Quality Engineering Architecture,21,Microsoft Azure Machine Learning,Jakarta Enterprise Beans,Azure,14,0,"english, hindi",full time,6-Senior Manager,SAP,SAP,mca,US,optional,No,series,no
Agile scrum KT call,Custom Software Engineering Specialist,Software Engineering > Packaged Application Development,29,Advance Front End Development NodeJs,SAP for Utilities ,Azure,19,8,"english, chinese",part time,10-Senior Analyst,Microsoft frontend,Azure,mba,PH,optional,yes,instance,no
people lead connect - discuss queries,Tech Architecture Manager,Software Engineering > Packaged Application Development,27,Angular,Agile Team Practices,java,11,10,"english, hindi",full time,12-Associate,Cloud,dot net,btech,US,optional,No,instance,no
User login issue - client call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,9,Applications Architecture,IT Troubleshooting,Google cloud,18,10,"english, hindi",part time,12-Associate,Google cloud,Java,mba,IN,required,No,instance,no
troubleshooting call - login issue,custom software engineering analyst,Training & Development > Business Interlock,19,Behavioral Sciences,Avanade Scrum Project Management,Selenium,17,10,"english, french",full time,12-Associate,AWS,Java,mba,IN,optional,yes,series,yes
Test team status call,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,18,Behavioral Sciences,Jakarta Enterprise Beans,Scrum,16,12,"english, hindi",part time,10-Senior Analyst,SAP,Java,btech,US,optional,No,series,yes
people lead connect - discuss queries,Tech Architecture Manager,Information Technology Operations > Software/Application/Cloud Tech Support,28,Business Operation Management,Microsoft Avanade Agile Framework (AAF),AWS,16,4,"english, french",full time,11-Analyst,AWS,SAP,btech,US,required,No,instance,yes
troubleshooting call - login issue,Quality Engineering Associate Manager,Information Technology Operations > Software/Application/Cloud Tech Support,23,Stakeholder Management,IT Troubleshooting,Azure,13,8,"english, hindi",full time,12-Associate,Cloud,SAP,mca,IN,required,yes,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,19,Automated Testing,Quality Engineering Strategy Implementation,front end,16,11,"english, chinese",full time,11-Analyst,SAP,Java,btech,US,required,No,instance,no
Agile scrum KT call,Quality Engineering Team Lead,Software Engineering > Quality Engineering,9,Java Enterprise Edition,Candidate Relationship Management,management ,3,11,"english, hindi",full time,12-Associate,Microsoft backend,SAP,btech,IN,required,No,series,yes
User login issue - client call,Tech Architecture Manager,Sourcing & Procurement Services > Vendor Management,21,Advance Front End Development NodeJs,Agile Team Practices,management ,17,8,"english, hindi",full time,11-Analyst,project management,management,btech,IN,required,yes,instance,yes
weekly status call ,People Advisor Analyst,Software Engineering > Quality Engineering Architecture,27,Angular,Culture Strategy,java,15,10,"english, hindi",full time,6-Senior Manager,SAP,management,mca,IN,required,No,instance,yes
Test team status call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,1,Communications Development and Delivery,Quality Engineering Strategy Implementation,Azure,8,11,"english, hindi",full time,12-Associate,Google cloud,Java,btech,IN,optional,No,instance,yes
java training call,custom software engineering analyst,Software Engineering > Packaged Application Development,22,Microsoft ASP.NET,Quality Engineering Strategy Implementation,SAP,11,11,"english, hindi",part time,12-Associate,SAP,SAP,btech,IN,required,No,series,yes
User login issue - client call,custom software engineering analyst,Human Resources > People Advisor,4,SAP ABAP Development,Vendor Management,Selenium,11,10,"english, hindi",full time,10-Senior Analyst,Cloud,dot net,btech,IN,optional,No,instance,yes
User login issue - client call,Tech Architecture Manager,Technology & Information Architectures > Technology Architecture,17,Angular,Jakarta Enterprise Beans,Google cloud,1,12,"english, japanese",full time,11-Analyst,project management,Java,mba,IN,optional,No,instance,yes
Test team status call,custom software engineering analyst,Human Resources > Talent Strategy,21,Communications Development and Delivery,Jakarta Enterprise Beans,SAP,17,11,"english, chinese",full time,8-Associate Manager,Microsoft backend,management,bca,US,optional,No,instance,yes
Agile scrum KT call,Quality Engineering Team Lead,Software Engineering > Quality Engineering,10,ASP.NET MVC,Vendor Management,Azure,13,10,"english, french",full time,12-Associate,SAP,management,btech,PH,required,No,series,yes
weekly status call ,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,2,Behavioral Sciences,Quality Engineering Strategy Implementation,AWS,2,8,"english, french",full time,11-Analyst,Azure,management,btech,PH,required,No,series,no
troubleshooting call - login issue,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,3,ASP.NET MVC,SAP for Utilities ,java,11,4,"english, hindi",part time,12-Associate,Google cloud,angular,mca,IN,optional,No,instance,yes
weekly status call ,Business Interlock Manager,Software Engineering > Packaged Application Development,1,Applications Architecture,Amazon Web Services (AWS),Google cloud,7,8,"english, french",full time,12-Associate,Microsoft frontend,Azure,bca,IN,required,No,instance,yes
new vendor onboarding call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,28,Java Enterprise Edition,Vendor Management,AWS,5,8,"english, french",full time,7-Manager,Azure,dot net,bca,US,required,No,series,no
Test team status call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,29,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),front end,2,10,"english, japanese",full time,12-Associate,Microsoft backend,dot net,mba,US,required,yes,instance,no
Test team status call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,12,Behavioral Sciences,Agile Team Practices,Azure,1,11,"english, hindi",part time,10-Senior Analyst,AWS,Azure,btech,IN,required,yes,series,no
people lead connect - discuss queries,custom software engineering analyst,Training & Development > Business Interlock,4,Automated Testing,Culture Strategy,Azure,2,3,"english, japanese",full time,11-Analyst,SAP,angular,btech,IN,optional,yes,instance,yes
Test team status call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,23,Automated Testing,Microsoft Avanade Agile Framework (AAF),SAP,12,8,"english, hindi",full time,10-Senior Analyst,AWS,angular,btech,SL,optional,No,instance,yes
User login issue - client call,Tech Architecture Manager,Human Resources > Talent Strategy,29,Stakeholder Management,Jakarta Enterprise Beans,management ,18,3,"english, hindi",part time,8-Associate Manager,AWS,Azure,mba,PH,optional,No,instance,yes
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering Architecture,16,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),management ,11,10,"english, french",full time,6-Senior Manager,Cloud,dot net,btech,US,optional,yes,instance,yes
Test team status call,custom software engineering analyst,Software Engineering > Custom Software Engineering,15,Advance Front End Development NodeJs,Candidate Relationship Management,AWS,10,8,"english, french",full time,12-Associate,AWS,dot net,btech,IN,optional,No,instance,yes
people lead connect - discuss queries,Custom Software Engineering Specialist,Software Engineering > Quality Engineering Architecture,3,Behavioral Sciences,Vendor Management,java,12,11,"english, hindi",full time,8-Associate Manager,Google cloud,dot net,bca,IN,required,yes,instance,yes
people lead connect - discuss queries,Business Interlock Manager,Human Resources > People Advisor,9,Automated Testing,Angular,SAP,2,8,"english, hindi",full time,10-Senior Analyst,Microsoft backend,dot net,mba,IN,required,yes,instance,no
new vendor onboarding call,Vendor Management Specialist,Software Engineering > Quality Engineering Architecture,22,Behavioral Sciences,Avanade Scrum Project Management,AWS,13,10,"english, japanese",full time,12-Associate,SAP,management,mca,US,optional,No,instance,yes
scrum call SAP project ,Tech Architecture Manager,Sourcing & Procurement Services > Vendor Management,5,SAP ABAP Development,SAP for Utilities ,Azure,16,8,"english, french",full time,11-Analyst,Azure,google cloud,mca,CN,required,No,instance,no
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Information Technology Operations > Software/Application/Cloud Tech Support,21,Business Operation Management,Avanade Scrum Project Management,AWS,3,3,"english, hindi",full time,11-Analyst,Google cloud,angular,btech,US,optional,No,series,yes
Java proect KT call,Talent Strategy Senior Manager,Human Resources > Talent Strategy,24,ASP.NET MVC,Avanade Scrum Project Management,management ,18,11,"english, hindi",full time,10-Senior Analyst,Cloud,google cloud,btech,IN,optional,No,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Packaged Application Development,26,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),management ,2,12,"english, hindi",full time,11-Analyst,SAP,Azure,btech,IN,required,yes,instance,yes
weekly status call ,custom software engineering analyst,Training & Development > Business Interlock,7,Automated Testing,Jakarta Enterprise Beans,management ,14,4,"english, hindi",part time,7-Manager,Microsoft backend,dot net,btech,SL,required,yes,series,yes
new vendor onboarding call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,21,Business Operation Management,SAP for Utilities ,Google cloud,17,11,"english, japanese",full time,11-Analyst,Google cloud,management,bca,US,optional,No,instance,no
people lead connect - discuss queries,Business Interlock Manager,Software Engineering > Packaged Application Development,22,Advance Front End Development NodeJs,Architectural Design,Scrum,16,10,"english, french",full time,12-Associate,Azure,dot net,btech,IN,required,No,instance,yes
people lead connect - discuss queries,People Advisor Analyst,Technology & Information Architectures > Technology Architecture,12,Applications Architecture,Quality Engineering Strategy Implementation,management ,5,8,"english, hindi",full time,9-Team Lead/Consultant,project management,dot net,btech,IN,optional,No,instance,yes
scrum call SAP project ,Packaged App Development Analyst,Human Resources > Talent Strategy,29,SAP ABAP Development,ASP.NET MVC,management ,1,11,"english, hindi",part time,7-Manager,Microsoft backend,angular,btech,US,required,No,instance,yes
people lead connect - discuss queries,Talent Strategy Senior Manager,Software Engineering > Quality Engineering,23,Behavioral Sciences,Culture Strategy,Azure,11,11,"english, hindi",full time,9-Team Lead/Consultant,project management,Java,mba,CN,required,No,series,yes
troubleshooting call - login issue,Business Interlock Manager,Human Resources > People Advisor,7,Applications Architecture,Candidate Relationship Management,front end,17,8,"english, french",full time,11-Analyst,AWS,Azure,btech,PH,optional,No,instance,yes
troubleshooting call - login issue,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,17,Microsoft Functional Testing,ASP.NET MVC,Azure,15,12,"english, hindi",part time,12-Associate,Azure,angular,btech,IN,required,yes,instance,yes
troubleshooting call - login issue,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,18,Business Operation Management,Agile Team Practices,Scrum,8,3,"english, hindi",part time,11-Analyst,Microsoft frontend,management,btech,IN,optional,yes,instance,yes
people lead connect - discuss queries,Business Interlock Manager,Training & Development > Business Interlock,17,Microsoft Azure Machine Learning,IT Troubleshooting,Scrum,19,12,"english, hindi",full time,11-Analyst,Google cloud,SAP,bca,IN,optional,No,instance,no
people lead connect - discuss queries,custom software engineering analyst,Software Engineering > Custom Software Engineering,25,Applications Architecture,Avanade Scrum Project Management,Azure,18,4,"english, hindi",full time,12-Associate,Microsoft frontend,Azure,bca,IN,required,No,series,yes
java training call,Tech Architecture Manager,Software Engineering > Quality Engineering Architecture,24,.NET Architecture,Microsoft Avanade Agile Framework (AAF),Google cloud,9,6,"english, japanese",part time,12-Associate,Azure,Java,btech,PH,required,yes,instance,yes
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,24,Advance Front End Development NodeJs,Culture Strategy,Selenium,5,11,"english, hindi",part time,11-Analyst,Microsoft backend,google cloud,btech,IN,optional,No,instance,yes
weekly status call ,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,24,Advance Front End Development NodeJs,Culture Strategy,Azure,4,11,"english, french",full time,9-Team Lead/Consultant,Cloud,dot net,mba,PH,optional,No,instance,yes
weekly status call ,Tech Architecture Manager,Software Engineering > Custom Software Engineering,2,Business Operation Management,ASP.NET MVC,front end,3,4,"english, german",part time,11-Analyst,SAP,angular,btech,PH,optional,No,series,no
Test team status call,Custom Software Engineering Specialist,Software Engineering > Quality Engineering,5,.NET Architecture,Jakarta Enterprise Beans,AWS,3,10,"english, hindi",full time,12-Associate,SAP,management,mca,US,required,No,series,yes
Agile scrum KT call,Business Interlock Manager,Software Engineering > Quality Engineering,7,Java Enterprise Edition,SAP for Utilities ,AWS,19,8,"english, hindi",full time,11-Analyst,Google cloud,management,bca,PH,required,yes,instance,yes
Agile scrum KT call,custom software engineering analyst,Human Resources > Talent Strategy,24,Angular,Candidate Relationship Management,Selenium,9,5,"english, french",full time,6-Senior Manager,SAP,SAP,btech,US,required,No,instance,yes
User login issue - client call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,28,Behavioral Sciences,Quality Engineering Strategy Implementation,management ,18,12,"english, japanese",full time,12-Associate,Microsoft backend,Java,btech,IN,optional,No,series,yes
scrum call SAP project ,Business Interlock Manager,Software Engineering > Custom Software Engineering,25,Communications Development and Delivery,Culture Strategy,AWS,16,10,"english, hindi",full time,12-Associate,Microsoft backend,google cloud,btech,PH,required,No,series,yes
java training call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,11,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),AWS,2,4,"english, hindi",full time,10-Senior Analyst,AWS,dot net,mba,IN,optional,yes,series,no
scrum call SAP project ,custom software engineering associate manager,Sourcing & Procurement Services > Vendor Management,24,Stakeholder Management,ASP.NET MVC,Azure,18,12,"english, hindi",full time,12-Associate,Cloud,google cloud,mca,IN,required,yes,series,yes
weekly status call ,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,12,SAP ABAP Development,SAP for Utilities ,AWS,6,11,"english, hindi",full time,10-Senior Analyst,Microsoft backend,google cloud,mca,IN,required,yes,instance,yes
people lead connect - discuss queries,Quality Engineering Team Lead,Software Engineering > Quality Engineering Architecture,19,Applications Architecture,Amazon Web Services (AWS),Scrum,10,6,"english, hindi",full time,12-Associate,SAP,management,mca,PH,optional,yes,series,yes
scrum call SAP project ,Business Interlock Manager,Software Engineering > Custom Software Engineering,3,Microsoft ASP.NET,Vendor Management,Selenium,16,3,"english, french",full time,6-Senior Manager,AWS,management,btech,IN,optional,No,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,13,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),AWS,10,8,"english, hindi",full time,8-Associate Manager,Cloud,google cloud,bca,IN,required,yes,instance,yes
scrum call SAP project ,custom software engineering associate manager,Information Technology Operations > Software/Application/Cloud Tech Support,2,Angular,Amazon Web Services (AWS),management ,10,10,"english, japanese",full time,6-Senior Manager,Microsoft frontend,dot net,mba,IN,optional,No,series,no
new vendor onboarding call,custom software engineering associate manager,Software Engineering > Packaged Application Development,12,.NET Architecture,IT Troubleshooting,java,14,10,"english, french",full time,6-Senior Manager,Cloud,Java,mca,US,optional,No,series,no
Agile scrum KT call,Vendor Management Specialist,Training & Development > Business Interlock,24,Applications Architecture,IT Troubleshooting,Selenium,16,10,"english, french",part time,9-Team Lead/Consultant,project management,SAP,mca,US,required,No,series,yes
people lead connect - discuss queries,SW/App/Cloud Tech Support Assoc Manager,Human Resources > People Advisor,20,SAP ABAP Development,Agile Team Practices,Scrum,16,12,"english, hindi",full time,12-Associate,Microsoft backend,management,mba,IN,required,No,instance,no
Test team status call,Quality Engineering Team Lead,Technology & Information Architectures > Technology Architecture,28,Applications Architecture,Architectural Design,Azure,5,8,"english, hindi",full time,12-Associate,SAP,Java,mca,IN,optional,No,instance,yes
people lead connect - discuss queries,Vendor Management Specialist,Software Engineering > Quality Engineering,25,Applications Architecture,Candidate Relationship Management,management ,19,10,"english, japanese",part time,12-Associate,AWS,management,btech,PH,required,yes,instance,no
new vendor onboarding call,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,20,Business Operation Management,Avanade Scrum Project Management,AWS,11,8,"english, hindi",full time,12-Associate,Cloud,dot net,bca,IN,optional,No,instance,no
Java proect KT call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,7,Automated Testing,Avanade Scrum Project Management,AWS,11,8,"english, french",full time,12-Associate,Microsoft frontend,dot net,mba,PH,optional,No,series,yes
people lead connect - discuss queries,custom software engineering associate manager,Software Engineering > Quality Engineering,9,Microsoft ASP.NET,Amazon Web Services (AWS),Azure,15,8,"english, hindi",full time,9-Team Lead/Consultant,Microsoft frontend,angular,btech,US,required,yes,instance,yes
weekly status call ,custom software engineering associate manager,Technology & Information Architectures > Technology Architecture,26,Angular,Candidate Relationship Management,Scrum,6,12,"english, french",full time,9-Team Lead/Consultant,SAP,Java,btech,US,required,No,instance,yes
scrum call SAP project ,Business Interlock Manager,Human Resources > People Advisor,24,Microsoft Functional Testing,Jakarta Enterprise Beans,AWS,12,10,"english, french",part time,12-Associate,Cloud,dot net,btech,IN,optional,No,series,yes
Agile scrum KT call,Packaged App Development Analyst,Training & Development > Business Interlock,24,Applications Architecture,Quality Engineering Strategy Implementation,AWS,5,11,"english, hindi",full time,11-Analyst,Azure,SAP,mba,IN,optional,No,instance,no
weekly status call ,Custom Software Engineering Specialist,Human Resources > Talent Strategy,16,ASP.NET MVC,Quality Engineering Strategy Implementation,Google cloud,6,8,"english, french",full time,11-Analyst,Microsoft frontend,management,mba,PH,optional,No,series,yes
Test team status call,Business Interlock Manager,Software Engineering > Quality Engineering,14,.NET Architecture,Microsoft Avanade Agile Framework (AAF),management ,17,11,"english, german",full time,11-Analyst,AWS,SAP,btech,IN,required,No,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Human Resources > Talent Strategy,27,Java Enterprise Edition,Amazon Web Services (AWS),Azure,16,5,"english, hindi",full time,12-Associate,AWS,angular,bca,IN,required,No,instance,yes
people lead connect - discuss queries,Talent Strategy Senior Manager,Software Engineering > Quality Engineering,15,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),management ,1,11,"english, german",full time,12-Associate,Google cloud,Java,btech,PH,optional,No,instance,yes
new vendor onboarding call,Vendor Management Specialist,Sourcing & Procurement Services > Vendor Management,16,ASP.NET MVC,Jakarta Enterprise Beans,Google cloud,3,12,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,management,btech,IN,required,No,series,yes
Test team status call,custom software engineering analyst,Software Engineering > Custom Software Engineering,27,Behavioral Sciences,Candidate Relationship Management,management ,2,12,"english, japanese",full time,11-Analyst,project management,dot net,mba,PH,required,No,instance,yes
Test team status call,Quality Engineering Team Lead,Software Engineering > Quality Engineering Architecture,1,Microsoft Azure Machine Learning,ASP.NET MVC,Google cloud,12,4,"english, french",full time,12-Associate,Microsoft frontend,Azure,btech,US,required,No,instance,yes
troubleshooting call - login issue,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,20,Microsoft Functional Testing,SAP for Utilities ,AWS,4,10,"english, hindi",part time,10-Senior Analyst,Microsoft backend,Azure,btech,IN,optional,No,instance,yes
Test team status call,Custom Software Engineering Specialist,Sourcing & Procurement Services > Vendor Management,22,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),Azure,7,8,"english, chinese",full time,10-Senior Analyst,Azure,angular,mba,PH,optional,No,instance,yes
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Quality Engineering Architecture,10,Microsoft Functional Testing,Angular,SAP,12,12,"english, hindi",full time,8-Associate Manager,Google cloud,Azure,btech,IN,optional,yes,instance,yes
Agile scrum KT call,Quality Engineering Team Lead,Training & Development > Business Interlock,9,Communications Development and Delivery,Microsoft Avanade Agile Framework (AAF),Scrum,16,12,"english, french",part time,12-Associate,Google cloud,management,mca,IN,required,No,instance,yes
Java proect KT call,Tech Architecture Manager,Human Resources > People Advisor,24,Java Enterprise Edition,ASP.NET MVC,java,12,6,"english, hindi",part time,11-Analyst,project management,Azure,btech,IN,optional,yes,series,yes
User login issue - client call,Talent Strategy Senior Manager,Human Resources > Talent Strategy,23,Java Enterprise Edition,Culture Strategy,AWS,15,4,"english, hindi",full time,12-Associate,Microsoft frontend,SAP,mca,IN,optional,No,series,yes
User login issue - client call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,6,Advance Front End Development NodeJs,Amazon Web Services (AWS),Selenium,18,12,"english, hindi",full time,12-Associate,Microsoft backend,dot net,mba,US,required,yes,series,yes
Test team status call,custom software engineering analyst,Software Engineering > Packaged Application Development,18,SAP ABAP Development,Vendor Management,AWS,13,11,"english, hindi",full time,12-Associate,project management,angular,bca,IN,optional,yes,instance,yes
Agile scrum KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,29,.NET Architecture,ASP.NET MVC,Google cloud,10,12,"english, hindi",part time,11-Analyst,AWS,Java,bca,IN,optional,yes,instance,yes
Agile scrum KT call,custom software engineering analyst,Software Engineering > Packaged Application Development,28,Microsoft Functional Testing,Candidate Relationship Management,Scrum,11,11,"english, hindi",full time,6-Senior Manager,Microsoft backend,dot net,bca,PH,optional,No,instance,yes
new vendor onboarding call,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,22,Java Enterprise Edition,Architectural Design,Selenium,2,12,"english, hindi",full time,11-Analyst,project management,management,mba,US,optional,No,instance,yes
new vendor onboarding call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,10,Communications Development and Delivery,Vendor Management,Azure,17,10,"english, hindi",full time,6-Senior Manager,Azure,SAP,btech,CN,required,No,instance,no
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,25,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),AWS,1,6,"english, french",full time,10-Senior Analyst,SAP,angular,btech,PH,required,No,instance,yes
new vendor onboarding call,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,21,Applications Architecture,Agile Team Practices,Selenium,7,11,"english, german",full time,6-Senior Manager,AWS,google cloud,btech,PH,optional,yes,instance,yes
scrum call SAP project ,custom software engineering analyst,Human Resources > People Advisor,5,Microsoft Functional Testing,Quality Engineering Strategy Implementation,Scrum,5,12,"english, french",full time,9-Team Lead/Consultant,SAP,Azure,mba,US,optional,No,instance,yes
weekly status call ,Vendor Management Specialist,Software Engineering > Custom Software Engineering,16,Advance Front End Development NodeJs,Agile Team Practices,SAP,6,11,"english, french",full time,9-Team Lead/Consultant,Google cloud,google cloud,btech,US,optional,No,instance,no
scrum call SAP project ,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,9,.NET Architecture,IT Troubleshooting,management ,10,12,"english, hindi",full time,10-Senior Analyst,Cloud,angular,mca,PH,required,No,series,no
people lead connect - discuss queries,Vendor Management Specialist,Sourcing & Procurement Services > Vendor Management,18,Java Enterprise Edition,Quality Engineering Strategy Implementation,SAP,5,10,"english, hindi",part time,12-Associate,Microsoft frontend,SAP,btech,PH,optional,No,instance,yes
Agile scrum KT call,Vendor Management Specialist,Human Resources > People Advisor,2,Automated Testing,IT Troubleshooting,Scrum,11,12,"english, french",full time,12-Associate,Google cloud,management,mca,IN,optional,No,instance,yes
weekly status call ,Tech Architecture Manager,Training & Development > Business Interlock,18,Automated Testing,Amazon Web Services (AWS),AWS,16,8,"english, hindi",full time,9-Team Lead/Consultant,SAP,Azure,mba,IN,optional,No,instance,yes
Test team status call,Packaged App Development Analyst,Training & Development > Business Interlock,17,Microsoft Azure Machine Learning,IT Troubleshooting,SAP,9,11,"english, french",full time,12-Associate,Microsoft backend,Azure,mca,IN,required,yes,instance,yes
Agile scrum KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,16,Java Enterprise Edition,Candidate Relationship Management,Azure,15,8,"english, hindi",full time,9-Team Lead/Consultant,Microsoft backend,Azure,btech,PH,optional,No,series,yes
Java proect KT call,custom software engineering associate manager,Information Technology Operations > Software/Application/Cloud Tech Support,13,Java Enterprise Edition,IT Troubleshooting,Google cloud,8,10,"english, chinese",full time,9-Team Lead/Consultant,Microsoft frontend,google cloud,bca,CN,required,No,series,yes
Test team status call,SW/App/Cloud Tech Support Assoc Manager,Human Resources > People Advisor,2,Communications Development and Delivery,Vendor Management,java,16,11,"english, japanese",full time,11-Analyst,Cloud,Azure,mba,US,optional,yes,series,no
User login issue - client call,Packaged App Development Analyst,Human Resources > People Advisor,22,Stakeholder Management,Amazon Web Services (AWS),management ,7,8,"english, german",full time,12-Associate,Azure,Azure,bca,IN,optional,No,instance,yes
people lead connect - discuss queries,Talent Strategy Senior Manager,Sourcing & Procurement Services > Vendor Management,4,Microsoft Azure Machine Learning,Amazon Web Services (AWS),Scrum,14,12,"english, hindi",full time,7-Manager,project management,Azure,btech,US,required,yes,series,yes
scrum call SAP project ,custom software engineering analyst,Software Engineering > Custom Software Engineering,11,Automated Testing,Culture Strategy,AWS,11,8,"english, french",full time,10-Senior Analyst,AWS,management,btech,IN,optional,yes,series,yes
scrum call SAP project ,custom software engineering analyst,Training & Development > Business Interlock,14,.NET Architecture,Quality Engineering Strategy Implementation,Azure,12,4,"english, hindi",part time,11-Analyst,project management,Azure,btech,US,required,No,instance,yes
Agile scrum KT call,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,2,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),java,11,8,"english, chinese",full time,12-Associate,Microsoft backend,angular,btech,IN,optional,No,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Human Resources > People Advisor,22,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),Scrum,3,8,"english, hindi",full time,12-Associate,Google cloud,google cloud,btech,IN,required,No,instance,yes
java training call,Custom Software Engineering Specialist,Human Resources > People Advisor,17,SAP ABAP Development,Culture Strategy,management ,1,11,"english, japanese",full time,10-Senior Analyst,AWS,google cloud,bca,IN,optional,yes,instance,yes
